id:ID(journal),name,:LABEL
c0706ff752983441bdec72718d7c13d959797495,Curr Obstet Gynaecol,journal
b0c58c871cf5a1e5ee45118309726ba571704971,The Semantic Web,journal
820a12e74974d1ffb48f8b1187a28cf94b2e776d,Pediatr Pulmonol,journal
735fba47afe27df763e66e0572188caed6b23ec2,Diagn Microbiol Infect Dis,journal
49c5a767ff82d4b863feac3c21f420fcb1460a29,bioRxiv,journal
08d79469c7e1ca32ff4f71a56759272415138766,Advances in Veterinary Science and Comparative Medicine,journal
6b2e94a1827d79c04c4432262a8f9acec98bf79a,J Occup Environ Hyg,journal
e90f5ea9f2346de2d28fbdd3e5585c6c691eb601,Internist (Berl),journal
a03504871d2621e271feca839f61565b8933e05c,Journal of Virological Methods,journal
7fafca318745c8b4df6624d3377bdb4bd84fa851,Cell Mol Life Sci,journal
bd9d46aca5e78fa07a3f137ec574993dd08c2a61,Clin Nucl Med,journal
37776ff464498be8c0df4f694e9ef6f133bd7b7f,Med Hypotheses,journal
ef6fb6fcd4f0feb6d4420ca009cb813154cf42ad,Wellcome Open Res,journal
b3811f513f5aa6c07c5d97b45c637ecdf4efda0d,Journal of Leukocyte Biology,journal
ca8499acb09af173f8460930309330e1376e4033,Sci Total Environ,journal
8ab0a170157bf8dc43f575acd0a355aced0cc726,Inflamm Intest Dis,journal
1bfab4a1b27e407ebd255cffb1004461f6cfb0ca,The City in Need,journal
61fc835ddabaaded09a12b73aae4ca00d1dc5afc,J Diabetes Res,journal
70b2cd6ab1fdf8b3fd9dc7f3b700c5ab02f7e346,Emerg Infect Dis,journal
1e435abcceb7d6feafdfec577c73869e3b9a1483,Sci Rep,journal
e98598caa8b1d3af78fe9bb229f6db0dd682e7e2,Pulmonary Involvement in Patients with Hematological Malignancies,journal
